matchPlayerID,matchTeamID,eventPlayerID,matchGoal,matchShot,matchSave,isStartingLineUp,totalPerformanceTime,assist,passClearChance,recieve7m,commit7m,recieve2min,steal,block
"*keep this column only if you want to edit an existing player, otherwise, leave blank","*get it from team download, do not leave blank, it is the ID of the team which join the event, get it from match-team download","*get it from team download, do not leave blank, it is the ID of the player who join the event, get it from event-player download","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank","*TRUE or FALSE only, do not leave blank","*use excel function TIME(H,M,S), can leave blank","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank","*integer only, can leave blank"
,1,1,,,,TRUE,,,,,,,,
,1,2,,,,TRUE,,,,,,,,
,1,3,,,,TRUE,,,,,,,,
,1,4,,,,TRUE,,,,,,,,
,1,5,,,,TRUE,,,,,,,,
,1,6,,,,TRUE,,,,,,,,
,1,7,,,,TRUE,,,,,,,,
,2,8,,,,TRUE,,,,,,,,
,2,9,,,,TRUE,,,,,,,,
,2,10,,,,TRUE,,,,,,,,
,2,11,,,,TRUE,,,,,,,,
,2,12,,,,TRUE,,,,,,,,
,2,13,,,,TRUE,,,,,,,,
,2,14,,,,TRUE,,,,,,,,
,3,15,,,,TRUE,,,,,,,,
,3,16,,,,TRUE,,,,,,,,
,3,17,,,,TRUE,,,,,,,,
,3,18,,,,TRUE,,,,,,,,
,3,19,,,,TRUE,,,,,,,,
,3,20,,,,TRUE,,,,,,,,
,3,21,,,,TRUE,,,,,,,,
,4,22,,,,TRUE,,,,,,,,
,4,23,,,,TRUE,,,,,,,,
,4,24,,,,TRUE,,,,,,,,
,4,25,,,,TRUE,,,,,,,,
,4,26,,,,TRUE,,,,,,,,
,4,27,,,,TRUE,,,,,,,,
,4,28,,,,TRUE,,,,,,,,
